Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2005","2005","ha","22400","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2006","2006","ha","23000","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2007","2007","ha","23000","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2008","2008","ha","23768","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2009","2009","ha","23800","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2010","2010","ha","24343","I","Imputed value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2011","2011","ha","25571","I","Imputed value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2012","2012","ha","25895","I","Imputed value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2013","2013","ha","26583","I","Imputed value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2014","2014","ha","26926","I","Imputed value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2015","2015","ha","27503","I","Imputed value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2016","2016","ha","27912","I","Imputed value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2017","2017","ha","28144","I","Imputed value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2018","2018","ha","27853","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2019","2019","ha","27970","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2020","2020","ha","27989","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2021","2021","ha","27937","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01929.07","Abaca, manila hemp, raw","1961","1961","100 g/ha","12000","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01929.07","Abaca, manila hemp, raw","1962","1962","100 g/ha","12000","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01929.07","Abaca, manila hemp, raw","1963","1963","100 g/ha","12727","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01929.07","Abaca, manila hemp, raw","1964","1964","100 g/ha","12500","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01929.07","Abaca, manila hemp, raw","1965","1965","100 g/ha","12000","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01929.07","Abaca, manila hemp, raw","1966","1966","100 g/ha","20833","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01929.07","Abaca, manila hemp, raw","1967","1967","100 g/ha","21538","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01929.07","Abaca, manila hemp, raw","1968","1968","100 g/ha","20000","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01929.07","Abaca, manila hemp, raw","1969","1969","100 g/ha","19444","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01929.07","Abaca, manila hemp, raw","1970","1970","100 g/ha","19459","E","Estimated value"
